"year","variable","value","tributary"
2015,"num.growDays",214.2,"genesee"
2016,"num.growDays",229.8,"genesee"
2017,"num.growDays",216,"genesee"
2018,"num.growDays",208.4,"genesee"
2019,"num.growDays",221.4,"genesee"
2020,"num.growDays",235.6,"genesee"
2021,"num.growDays",218,"genesee"
2022,"num.growDays",230.4,"genesee"
2023,"num.growDays",214.6,"genesee"
2024,"num.growDays",225.8,"genesee"
2025,"num.growDays",225.6,"genesee"
2026,"num.growDays",227.2,"genesee"
2027,"num.growDays",230.4,"genesee"
2028,"num.growDays",220.4,"genesee"
2029,"num.growDays",226.8,"genesee"
2030,"num.growDays",221.4,"genesee"
2031,"num.growDays",229.4,"genesee"
2032,"num.growDays",229.6,"genesee"
2033,"num.growDays",237.4,"genesee"
2034,"num.growDays",227,"genesee"
2035,"num.growDays",244.6,"genesee"
2036,"num.growDays",231.8,"genesee"
2037,"num.growDays",237,"genesee"
2038,"num.growDays",236.8,"genesee"
2039,"num.growDays",231.2,"genesee"
2040,"num.growDays",235.8,"genesee"
2041,"num.growDays",242,"genesee"
2042,"num.growDays",239.4,"genesee"
2043,"num.growDays",240.2,"genesee"
2044,"num.growDays",242,"genesee"
2045,"num.growDays",239.4,"genesee"
2046,"num.growDays",235,"genesee"
2047,"num.growDays",235.6,"genesee"
2048,"num.growDays",237,"genesee"
2049,"num.growDays",240.2,"genesee"
2050,"num.growDays",246,"genesee"
2051,"num.growDays",253.8,"genesee"
2052,"num.growDays",241,"genesee"
2053,"num.growDays",244.6,"genesee"
2054,"num.growDays",253.8,"genesee"
2055,"num.growDays",254.4,"genesee"
2056,"num.growDays",247.4,"genesee"
2057,"num.growDays",248.4,"genesee"
2058,"num.growDays",253.2,"genesee"
2059,"num.growDays",253.8,"genesee"
2060,"num.growDays",259.6,"genesee"
2061,"num.growDays",267.6,"genesee"
2062,"num.growDays",239,"genesee"
2063,"num.growDays",255.6,"genesee"
2064,"num.growDays",247.6,"genesee"
2065,"num.growDays",257.2,"genesee"
2066,"num.growDays",245.8,"genesee"
2067,"num.growDays",261,"genesee"
2068,"num.growDays",252.6,"genesee"
2069,"num.growDays",257.6,"genesee"
2070,"num.growDays",256.4,"genesee"
2071,"num.growDays",256,"genesee"
2072,"num.growDays",260.4,"genesee"
2073,"num.growDays",266.8,"genesee"
2074,"num.growDays",258.6,"genesee"
2075,"num.growDays",262,"genesee"
2076,"num.growDays",261.8,"genesee"
2077,"num.growDays",261.6,"genesee"
2078,"num.growDays",274.8,"genesee"
2079,"num.growDays",267.4,"genesee"
2080,"num.growDays",271.8,"genesee"
2081,"num.growDays",263,"genesee"
2082,"num.growDays",265.8,"genesee"
2083,"num.growDays",266.2,"genesee"
2084,"num.growDays",262.2,"genesee"
2085,"num.growDays",275.8,"genesee"
2086,"num.growDays",272.2,"genesee"
2087,"num.growDays",267.2,"genesee"
2088,"num.growDays",272,"genesee"
2089,"num.growDays",282.4,"genesee"
2090,"num.growDays",279.4,"genesee"
2091,"num.growDays",273,"genesee"
2092,"num.growDays",281,"genesee"
2093,"num.growDays",278.6,"genesee"
2094,"num.growDays",289,"genesee"
2095,"num.growDays",284.2,"genesee"
2096,"num.growDays",281.4,"genesee"
2097,"num.growDays",283.6,"genesee"
2098,"num.growDays",291.8,"genesee"
2099,"num.growDays",285.6,"genesee"
2015,"growPercent_year",0.588,"genesee"
2016,"growPercent_year",0.628,"genesee"
2017,"growPercent_year",0.592,"genesee"
2018,"growPercent_year",0.572,"genesee"
2019,"growPercent_year",0.606,"genesee"
2020,"growPercent_year",0.646,"genesee"
2021,"growPercent_year",0.596,"genesee"
2022,"growPercent_year",0.63,"genesee"
2023,"growPercent_year",0.586,"genesee"
2024,"growPercent_year",0.618,"genesee"
2025,"growPercent_year",0.62,"genesee"
2026,"growPercent_year",0.622,"genesee"
2027,"growPercent_year",0.632,"genesee"
2028,"growPercent_year",0.606,"genesee"
2029,"growPercent_year",0.622,"genesee"
2030,"growPercent_year",0.604,"genesee"
2031,"growPercent_year",0.628,"genesee"
2032,"growPercent_year",0.63,"genesee"
2033,"growPercent_year",0.65,"genesee"
2034,"growPercent_year",0.622,"genesee"
2035,"growPercent_year",0.668,"genesee"
2036,"growPercent_year",0.634,"genesee"
2037,"growPercent_year",0.652,"genesee"
2038,"growPercent_year",0.648,"genesee"
2039,"growPercent_year",0.632,"genesee"
2040,"growPercent_year",0.644,"genesee"
2041,"growPercent_year",0.662,"genesee"
2042,"growPercent_year",0.656,"genesee"
2043,"growPercent_year",0.66,"genesee"
2044,"growPercent_year",0.662,"genesee"
2045,"growPercent_year",0.656,"genesee"
2046,"growPercent_year",0.646,"genesee"
2047,"growPercent_year",0.644,"genesee"
2048,"growPercent_year",0.646,"genesee"
2049,"growPercent_year",0.656,"genesee"
2050,"growPercent_year",0.672,"genesee"
2051,"growPercent_year",0.696,"genesee"
2052,"growPercent_year",0.658,"genesee"
2053,"growPercent_year",0.672,"genesee"
2054,"growPercent_year",0.696,"genesee"
2055,"growPercent_year",0.698,"genesee"
2056,"growPercent_year",0.676,"genesee"
2057,"growPercent_year",0.68,"genesee"
2058,"growPercent_year",0.696,"genesee"
2059,"growPercent_year",0.694,"genesee"
2060,"growPercent_year",0.712,"genesee"
2061,"growPercent_year",0.732,"genesee"
2062,"growPercent_year",0.654,"genesee"
2063,"growPercent_year",0.7,"genesee"
2064,"growPercent_year",0.676,"genesee"
2065,"growPercent_year",0.702,"genesee"
2066,"growPercent_year",0.672,"genesee"
2067,"growPercent_year",0.714,"genesee"
2068,"growPercent_year",0.692,"genesee"
2069,"growPercent_year",0.704,"genesee"
2070,"growPercent_year",0.702,"genesee"
2071,"growPercent_year",0.702,"genesee"
2072,"growPercent_year",0.714,"genesee"
2073,"growPercent_year",0.73,"genesee"
2074,"growPercent_year",0.708,"genesee"
2075,"growPercent_year",0.718,"genesee"
