"year","variable","value","tributary"
2011,"num.growDays",181,"genesee"
2012,"num.growDays",206,"genesee"
2011,"growPercent_year",0.5,"genesee"
2012,"growPercent_year",0.56,"genesee"
2011,"num.spawnDays",99,"genesee"
2012,"num.spawnDays",109,"genesee"
2011,"spawnPercent_year",0.27,"genesee"
2012,"spawnPercent_year",0.3,"genesee"
2011,"spawnDaysRange1",173,"genesee"
2012,"spawnDaysRange1",154,"genesee"
2011,"spawnDaysRange2",271,"genesee"
2012,"spawnDaysRange2",266,"genesee"
2011,"lastBday",232,"genesee"
2012,"lastBday",231,"genesee"
2011,"surviveNum",60,"genesee"
2012,"surviveNum",74,"genesee"
2011,"percentSpawnSurvive",0.61,"genesee"
2012,"percentSpawnSurvive",0.68,"genesee"
2011,"theoryMin",5.2,"genesee"
2012,"theoryMin",5.68,"genesee"
2011,"wintDay",142,"genesee"
2012,"wintDay",170,"genesee"
2011,"wintPer",0.39,"genesee"
2012,"wintPer",0.47,"genesee"
2000,"num.growDays",112,"nipigon"
2001,"num.growDays",128,"nipigon"
2002,"num.growDays",115,"nipigon"
2003,"num.growDays",127,"nipigon"
2004,"num.growDays",116,"nipigon"
2005,"num.growDays",132,"nipigon"
2006,"num.growDays",133,"nipigon"
2007,"num.growDays",134,"nipigon"
2008,"num.growDays",114,"nipigon"
2000,"growPercent_year",0.31,"nipigon"
2001,"growPercent_year",0.35,"nipigon"
2002,"growPercent_year",0.32,"nipigon"
2003,"growPercent_year",0.35,"nipigon"
2004,"growPercent_year",0.32,"nipigon"
2005,"growPercent_year",0.36,"nipigon"
2006,"growPercent_year",0.36,"nipigon"
2007,"growPercent_year",0.37,"nipigon"
2008,"growPercent_year",0.31,"nipigon"
2000,"num.spawnDays",0,"nipigon"
2001,"num.spawnDays",9,"nipigon"
2002,"num.spawnDays",0,"nipigon"
2003,"num.spawnDays",23,"nipigon"
2004,"num.spawnDays",0,"nipigon"
2005,"num.spawnDays",30,"nipigon"
2006,"num.spawnDays",32,"nipigon"
2007,"num.spawnDays",2,"nipigon"
2008,"num.spawnDays",0,"nipigon"
2000,"spawnPercent_year",0,"nipigon"
2001,"spawnPercent_year",0.02,"nipigon"
2002,"spawnPercent_year",0,"nipigon"
2003,"spawnPercent_year",0.06,"nipigon"
2004,"spawnPercent_year",0,"nipigon"
2005,"spawnPercent_year",0.08,"nipigon"
2006,"spawnPercent_year",0.09,"nipigon"
2007,"spawnPercent_year",0.01,"nipigon"
2008,"spawnPercent_year",0,"nipigon"
2000,"spawnDaysRange1",NA,"nipigon"
2001,"spawnDaysRange1",239,"nipigon"
2002,"spawnDaysRange1",NA,"nipigon"
2003,"spawnDaysRange1",225,"nipigon"
2004,"spawnDaysRange1",NA,"nipigon"
2005,"spawnDaysRange1",229,"nipigon"
2006,"spawnDaysRange1",217,"nipigon"
2007,"spawnDaysRange1",230,"nipigon"
2008,"spawnDaysRange1",NA,"nipigon"
2000,"spawnDaysRange2",NA,"nipigon"
2001,"spawnDaysRange2",247,"nipigon"
2002,"spawnDaysRange2",NA,"nipigon"
2003,"spawnDaysRange2",247,"nipigon"
2004,"spawnDaysRange2",NA,"nipigon"
2005,"spawnDaysRange2",258,"nipigon"
2006,"spawnDaysRange2",248,"nipigon"
2007,"spawnDaysRange2",231,"nipigon"
2008,"spawnDaysRange2",NA,"nipigon"
2000,"lastBday",NA,"nipigon"
2001,"lastBday",NA,"nipigon"
2002,"lastBday",NA,"nipigon"
2003,"lastBday",NA,"nipigon"
2004,"lastBday",NA,"nipigon"
2005,"lastBday",NA,"nipigon"
2006,"lastBday",NA,"nipigon"
2007,"lastBday",NA,"nipigon"
